bfs_number,town
118, Rüti ZH
88, Neerach
261, Zürich
243, Oetwil an der Limmat
250, Urdorf
111, Bäretswil
226, Schlatt ZH
7, Knonau
219, Elsau
230, Winterthur
172, Fehraltorf
154, Küsnacht ZH
159, Uetikon am See
58, Zweidlen
90, Niederhasli
115, Gossau ZH
66, Kloten
224, Neftenbach
52, Bassersdorf
59, Hochfelden
53, Bülach
117, Hinwil
141, Thalwil
68, Freienstein
131, Adliswil
120, Wald ZH
138, Samstagern
92, Oberglatt ZH
195, Pfaffhausen
251, Weiningen ZH
64, Nürensdorf
297, Bauma
152, Herrliberg
245, Oberengstringen
225, Rickenbach Sulz
158, Stäfa
121, Wetzikon ZH
231, Zell ZH
193, Fällanden
136, Langnau am Albis
153, Hombrechtikon
249, Unterengstringen
86, Dielsdorf
96, Adlikon b. Regensdorf
2, Zwillikon
161, Zollikerberg
178, Russikon
247, Schlieren
30, Andelfingen
27, Langwiesen
156, Meilen
197, Schwerzenbach
100, Stadel b. Niederglatt
62, Kloten
198, Uster
157, Oetwil am See
34, Uhwiesen
102, Weiach
119, Aathal-Seegräben
155, Männedorf
191, Dübendorf
213, Brütten
91, Niederweningen
51, Bachenbülach
199, Gutenswil
87, Hüttikon
298, Wiesendangen
113, Tann
9, Mettmenstetten
55, Eglisau
83, Buchs ZH
54, Dietlikon
69, Wallisellen
97, Rümlang
227, Seuzach
63, Lufingen
72, Winkel
56, Embrach
5, Hedingen
296, Effretikon
194, Greifensee
10, Obfelden
101, Steinmaur
177, Pfäffikon ZH
89, Niederglatt ZH
200, Brüttisellen
38, Rheinau
248, Uitikon Waldegg
3, Bonstetten
196, Mönchaltorf
4, Hausen am Albis
173, Hittnau
192, Egg b. Zürich
